"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
"1" "Aa" "Ab" "Ac" "Ad" "Ae" "Af" "ST01" "SU02" "D03" "ST04" "SU05" "D06" "D07" "SU08" "ST09" "SU10" "D11" "ST12" "SU13" "D14" "D15" "SU16" "ST17" "SU18" "D19" "ST20" "SU21" "D22" "D23" "SU24" "ST25" "SU26" "D27" "ST28" "SU29" "D30" "D31" "SU32" "Ca" "Cb" "Cc" "Cd" "Ce" "Cf" "Cg" "Ch" "Da" "Db" "Dc" "Dd" "De" "Df" "Dg" "Dh" "Di" "Dj" "Age" "Attitude" "Points" "gender"
"2" "3" "1" "2" "1" "1" "1" "4" "2" "4" "4" "2" "4" "4" "3" "3" "2" "3" "3" "3" "4" "3" "2" "3" "2" "4" "2" "3" "3" "2" "2" "4" "4" "4" "4" "3" "4" "4" "3" "2" "4" "3" "4" "3" "2" "3" "4" "3" "4" "4" "5" "4" "2" "4" "3" "4" "4" "53" "37" "25" "F"
"3" "2" "2" "2" "2" "1" "1" "4" "2" "4" "4" "4" "2" "3" "4" "4" "1" "4" "1" "3" "2" "3" "4" "4" "2" "3" "1" "2" "2" "3" "4" "2" "4" "2" "2" "3" "3" "4" "5" "4" "4" "4" "5" "5" "3" "2" "4" "4" "3" "3" "4" "3" "2" "3" "3" "2" "4" "55" "31" "12" "M"
"4" "4" "1" "1" "1" "1" "1" "3" "1" "4" "4" "2" "3" "4" "1" "3" "1" "4" "4" "2" "4" "2" "3" "3" "1" "4" "3" "2" "4" "3" "3" "4" "4" "3" "5" "2" "4" "3" "5" "3" "5" "4" "4" "3" "4" "4" "2" "1" "4" "4" "1" "4" "1" "3" "1" "1" "5" "49" "25" "24" "F"
"5" "4" "2" "3" "2" "1" "1" "3" "3" "4" "4" "3" "4" "4" "2" "3" "1" "3" "3" "2" "4" "3" "2" "3" "1" "3" "3" "3" "3" "3" "2" "3" "2" "3" "3" "3" "4" "4" "3" "3" "4" "4" "4" "3" "4" "4" "3" "2" "4" "5" "2" "5" "1" "5" "4" "2" "5" "53" "35" "10" "M"
"6" "3" "2" "2" "1" "2" "1" "4" "2" "5" "3" "4" "4" "4" "3" "4" "2" "4" "2" "3" "4" "3" "3" "4" "1" "4" "3" "2" "3" "3" "4" "4" "3" "3" "5" "3" "3" "4" "4" "2" "4" "4" "3" "3" "3" "4" "4" "3" "4" "4" "4" "4" "2" "5" "5" "3" "3" "49" "37" "22" "M"
"7" "4" "2" "1" "1" "1" "1" "4" "3" "5" "4" "3" "5" "5" "4" "4" "1" "5" "3" "1" "5" "4" "2" "3" "2" "4" "3" "4" "5" "4" "2" "4" "2" "5" "4" "2" "5" "5" "3" "3" "5" "4" "4" "3" "4" "5" "4" "3" "5" "4" "4" "4" "3" "4" "3" "3" "5" "38" "38" "21" "F"
"8" "4" "1" "2" "2" "1" "1" "5" "2" "4" "2" "2" "3" "4" "4" "2" "1" "5" "2" "1" "5" "2" "3" "4" "1" "4" "1" "1" "4" "3" "2" "1" "1" "4" "1" "1" "4" "4" "4" "4" "5" "4" "4" "4" "5" "5" "3" "2" "4" "4" "5" "5" "1" "4" "4" "2" "4" "50" "35" "21" "M"
"9" "3" "1" "2" "1" "1" "1" "4" "2" "4" "5" "4" "3" "4" "2" "4" "2" "3" "4" "2" "4" "2" "3" "3" "2" "4" "4" "3" "2" "2" "4" "4" "4" "4" "4" "2" "3" "4" "4" "2" "4" "4" "5" "3" "3" "3" "3" "2" "4" "4" "3" "4" "1" "4" "1" "1" "5" "37" "29" "31" "F"
"10" "2" "1" "2" "1" "1" "1" "4" "1" "5" "5" "2" "4" "5" "4" "4" "1" "4" "4" "1" "4" "3" "4" "4" "1" "5" "4" "2" "4" "4" "2" "4" "4" "5" "5" "1" "4" "5" "3" "3" "5" "4" "5" "3" "3" "5" "5" "4" "2" "4" "5" "4" "4" "5" "4" "4" "2" "37" "38" "24" "M"
"11" "3" "2" "1" "1" "1" "2" "4" "2" "4" "4" "4" "4" "4" "2" "4" "2" "4" "4" "2" "4" "4" "4" "4" "2" "4" "2" "4" "4" "4" "4" "4" "4" "4" "2" "2" "4" "4" "4" "2" "4" "4" "5" "4" "4" "4" "4" "1" "4" "4" "2" "2" "1" "1" "1" "1" "4" "42" "21" "26" "F"
"12" "2" "2" "2" "2" "2" "2" "4" "2" "4" "4" "4" "4" "4" "2" "4" "2" "4" "4" "3" "4" "3" "3" "3" "2" "3" "3" "2" "3" "4" "4" "3" "2" "3" "4" "2" "3" "4" "4" "3" "3" "4" "4" "4" "3" "3" "3" "3" "4" "5" "4" "4" "4" "4" "4" "3" "4" "37" "39" "31" "M"
"13" "5" "1" "2" "1" "1" "1" "5" "1" "4" "5" "3" "4" "4" "1" "5" "2" "4" "4" "1" "4" "4" "4" "5" "1" "3" "4" "2" "3" "3" "4" "5" "4" "5" "5" "1" "3" "5" "5" "3" "4" "5" "3" "5" "3" "4" "3" "3" "4" "4" "5" "4" "2" "3" "5" "4" "4" "34" "38" "31" "F"
"14" "4" "1" "3" "1" "1" "2" "5" "2" "5" "4" "2" "4" "5" "1" "4" "2" "5" "4" "2" "5" "4" "1" "3" "2" "4" "3" "2" "4" "4" "2" "4" "4" "4" "2" "3" "3" "4" "4" "3" "5" "5" "3" "4" "4" "4" "3" "2" "4" "3" "1" "4" "1" "2" "2" "1" "4" "34" "24" "23" "F"
"15" "2" "1" "3" "1" "1" "1" "4" "4" "3" "3" "2" "4" "4" "2" "4" "1" "2" "3" "2" "4" "2" "3" "4" "2" "4" "2" "4" "4" "2" "4" "4" "4" "2" "4" "3" "5" "4" "2" "2" "5" "2" "3" "3" "4" "5" "4" "2" "5" "5" "2" "4" "1" "3" "2" "1" "5" "34" "30" "25" "F"
"16" "4" "1" "1" "1" "1" "1" "3" "1" "5" "2" "2" "4" "4" "4" "2" "1" "4" "1" "2" "4" "4" "2" "3" "2" "5" "1" "2" "5" "2" "2" "1" "4" "3" "1" "2" "5" "5" "4" "3" "1" "3" "4" "2" "4" "2" "4" "2" "2" "4" "1" "2" "5" "2" "3" "1" "4" "35" "26" "21" "M"
"17" "1" "1" "1" "1" "1" "1" "5" "2" "4" "4" "4" "3" "3" "3" "2" "2" "3" "3" "4" "3" "3" "2" "3" "1" "3" "2" "2" "3" "3" "2" "3" "3" "3" "3" "3" "3" "3" "4" "5" "3" "4" "5" "5" "4" "3" "5" "2" "2" "4" "1" "4" "2" "3" "1" "1" "5" "46" "25" "0" "F"
"18" "4" "2" "3" "2" "1" "1" "3" "2" "4" "5" "2" "4" "3" "2" "5" "2" "4" "3" "3" "4" "4" "3" "2" "1" "3" "4" "1" "4" "4" "3" "5" "4" "4" "4" "2" "2" "4" "3" "3" "4" "4" "2" "3" "2" "4" "3" "4" "4" "4" "5" "4" "2" "4" "5" "5" "4" "33" "41" "31" "F"
"19" "3" "1" "1" "1" "1" "1" "3" "2" "5" "2" "3" "4" "5" "4" "1" "3" "4" "1" "2" "5" "3" "4" "1" "3" "3" "1" "1" "5" "5" "3" "1" "5" "2" "1" "2" "4" "4" "3" "3" "5" "3" "3" "4" "3" "5" "3" "2" "4" "3" "4" "3" "1" "3" "1" "1" "4" "32" "26" "20" "F"
"20" "3" "2" "2" "1" "1" "1" "4" "2" "5" "4" "2" "4" "4" "2" "4" "2" "4" "2" "3" "4" "4" "3" "3" "3" "4" "3" "1" "2" "1" "3" "3" "4" "4" "3" "3" "2" "4" "2" "2" "4" "4" "3" "2" "2" "3" "4" "2" "3" "4" "2" "3" "2" "3" "3" "2" "2" "44" "26" "22" "F"
